,Negative Sense Word List,Positive Sense Word List
0,,
1,abnormal,able
2,abolish,abundance
3,abominable,accelerate
4,abominably,accept
5,abominate,acclaim
6,abomination,accolade
7,abort,accomplish
8,aborted,accord
9,aborts,accredit
10,abrade,accrue
11,abrasive,ace
12,abrupt,achieve
13,abruptly,action
14,abscond,activate
15,absence,active
16,absent-minded,add
17,absentee,addition
18,absurd,adept
19,absurdity,admirable
20,absurdly,adorable
21,absurdness,advance
22,abuse,advantage
23,abused,adventure
24,abuses,affable
25,abusive,affirm
26,abysmal,ageless
27,abysmally,agree
28,abyss,agreeable
29,accidental,aid
30,accost,aim
31,accursed,alacrity
32,accusation,alert
33,accusations,alight
34,accuse,alive
35,accuses,all
36,accusing,altruistic
37,accusingly,always
38,acerbate,amaze
39,acerbic,amazement
40,acerbically,amazing
41,ache,ambition
42,ached,amiable
43,aches,amity
44,aching,amuse
45,acrid,anew
46,acridly,angel
47,acridness,appealing
48,acrimonious,applaud
49,acrimoniously,appreciate
50,acrimony,approve
51,adamant,arouse
52,adamantly,art
53,addict,as
54,addicted,ascend
55,addicting,aspire
56,addicts,assent
57,admonish,assert
58,admonisher,assist
59,admonishingly,associate
60,admonishment,assure
61,admonition,astir
62,adulterate,astonish
63,adulterated,attain
64,adulteration,attempt
65,adversarial,attention
66,adversary,attentive
67,adverse,attest
68,adversity,attraction
69,afflict,attribute
70,affliction,attune
71,afflictive,augment
72,affront,auspicious
73,afraid,authentic
74,aggravate,available
75,aggravating,avid
76,aggravation,awake
77,aggression,award
78,aggressive,aware
79,aggressiveness,awash
80,aggressor,awesome
81,aggrieve,aye
82,aggrieved,back
83,aghast,balance
84,agonies,balanced
85,agonize,beatific
86,agonizing,beatify
87,agonizingly,beatitude
88,agony,beau
89,aground,beauteous
90,ail,beautiful
91,ailing,beautify
92,ailment,beauty
93,aimless,become
94,alarm,befriend
95,alarmed,begin
96,alarming,beginning
97,alarmingly,being
98,alienate,belief
99,alienated,believe
100,alienation,beloved
101,allegation,benedictory
102,allegations,benefaction
103,allege,beneficial
104,allergic,benefit
105,allergies,benevolent
106,allergy,best
107,aloof,bestow
108,altercation,bet
109,ambiguity,better
110,ambiguous,betterment
111,ambivalence,beyond
112,ambivalent,big
113,ambush,big-hearted
114,amiss,bijou
115,amputate,bird
116,anarchism,blasting
117,anarchist,bless
118,anarchistic,blessed
119,anarchy,blessing
120,anemic,bliss
121,anger,blissful
122,angrily,bloom
123,angriness,blooming
124,angry,blossom
125,anguish,bold
126,animosity,bombastic
127,annihilate,bonafide
128,annihilation,bonanza
129,annoy,bond
130,annoyance,bonny
131,annoyances,bonus
132,annoyed,boom
133,annoying,boost
134,annoyingly,bountiful
135,annoys,bounty
136,anomalous,box
137,anomaly,brainy
138,antagonism,brand-new
139,antagonist,brave
140,antagonistic,bravery
141,antagonize,bravo!
142,anti,breakthrough
143,anti-occupation,breathtaking
144,anti-proliferation,bright
145,anti-social,brighten
146,anti-us,brill
147,anti-white,brilliant
148,antipathy,brisk
149,antiquated,briskly
150,antithetical,bubbly
151,anxieties,budding
152,anxiety,buddy
153,anxious,build
154,anxiously,bullish
155,anxiousness,cajole
156,apathetic,calm
157,apathetically,calming
158,apathy,calmly
159,apocalypse,calmness
160,apocalyptic,campaign
161,apologist,campaigner
162,apologists,can
163,appall,can-do
164,appalled,candescent
165,appalling,candid
166,appallingly,candidly
167,apprehension,candor
168,apprehensions,candy
169,apprehensiveapprehensively,cannily
170,arbitrary,canny
171,arcane,canteen
172,archaic,capability
173,arduous,capable
174,arduously,capably
175,argumentative,capacious
176,arrogance,capital
177,arrogant,captain
178,arrogantly,captivate
179,ashamed,captivating
180,asinine,care
181,asininely,cared
182,askance,career
183,asperse,carefree
184,aspersion,carefreeness
185,aspersions,careful
186,assail,carefully
187,assassin,carefulness
188,assassinate,caress
189,assault,caretaker
190,astray,caring
191,asunder,cash
192,atrocious,casual
193,atrocities,casually
194,atrocity,catalyst
195,atrophy,catch
196,attack,catching
197,attacks,catchy
198,audacious,cause
199,audaciously,celebrate
200,audaciousness,celebrated
201,audacity,celebration
202,austere,celebrator
203,authoritarian,celebratory
204,autocrat,celebrity
205,autocratic,celestial
206,avalanche,center
207,avarice,centered
208,avaricious,central
209,avariciously,ceo
210,avenge,certain
211,averse,certainly
212,aversionawful,certainty
213,awful,chairperson
214,awfulabnormal,champ
215,awfully,champion
216,awfulness,chance
217,awkward,change
218,awkwardness,changeable
219,axabysmaladversealarmingangryannoyanxiousapathyappallingatrocious,changeless
220,babble,chaperone
221,back-logged,charisma
222,back-wood,charismatic
223,back-woods,charitable
224,backache,charity
225,backaches,charm
226,backachesbackbite,charmed
227,backbite,charmer
228,backbiting,charming
229,backward,charmingly
230,backwardness,chaste
231,backwardnessbackwoods,cheap
232,backwards,cheeky
233,backwoods,cheer
234,bacteria,cheerful
235,bad,cheerfully
236,badly,cheerfulness
237,baffle,cheering
238,baffled,cheerio
239,bafflement,cheers
240,baffling,cheery
241,bait,chemistry
242,balk,cherish
243,banal,cherub
244,bane,chic
245,banish,chief
246,banishment,chieftain
247,bankrupt,child
248,barbarian,childish
249,barbaric,childlike
250,barbarically,child’s
251,barbarity,chipper
252,barbarous,chirp
253,barbarously,chirpy
254,barren,chivalrous
255,baseless,chivalry
256,bash,choice
257,bashed,choose
258,bashful,chortle
259,bashing,chosen
260,bastard,chuckle
261,bastards,chum
262,battered,chummy
263,battering,cinch
264,batty,civic
265,bawl,civil
266,bearish,civility
267,beastly,civilize
268,bedlam,civilized
269,bedlamite,clairvoyant
270,befoul,clarity
271,beg,classic
272,beggar,classical
273,beggarly,classy
274,begging,claus
275,beguile,clean
276,belabor,cleanliness
277,belated,cleanly
278,beleaguer,clear
279,belie,clear-cut
280,belittle,clear-headed
281,belittled,clearly
282,belittling,clebrant
283,bellicose,clemency
284,belligerence,clement
285,belligerent,clever
286,belligerently,cleverly
287,bemoan,cleverness
288,bemoaning,close
289,bemused,closely
290,bent,closeness
291,berate,coequal
292,bereave,cogent
293,bereavement,cognizance
294,bereft,cognizant
295,berserk,cohesive
296,beseech,collabolator
297,beset,collaboration
298,besiege,collaborative
299,besmirch,collaborator
300,bestial,collateral
301,betray,colleague
302,betrayal,collective
303,betrayals,collector
304,betrayer,combination
305,betraying,comely
306,betrays,comfort
307,bewail,comfortable
308,beware,comforter
309,bewilder,comfy
310,bewildered,comic
311,bewildering,comical
312,bewilderingly,commander
313,bewilderment,commanding
314,bewitch,commend
315,bias,commendable
316,biased,commendably
317,biases,commendatory
318,bicker,commitment
319,bickering,committed
320,bid-rigging,communion
321,bigotries,community
322,bigotry,compact
323,bird-brained,compacted
324,bitch,companion
325,bitchy,companionship
326,biting,company
327,bitingly,compassion
328,bitter,compassionate
329,bitterly,compelling
330,bitterness,complement
331,bizarre,complete
332,blab,completely
333,blabber,compliment
334,blackmail,compose
335,blah,comprehension
336,blame,comprehensive
337,blameworthy,concentrate
338,bland,concentrated
339,blandish,concentration
340,blaspheme,concert
341,blasphemous,conciliate
342,blasphemy,conciliation
343,blasted,conciliatory
344,blatant,concise
345,blatantly,conclusive
346,blather,conclusively
347,bleak,concordance
348,bleakly,concordant
349,bleakness,concrete
350,bleed,condole
351,bleeding,condolence
352,bleeds,conductor
353,blemish,confidant
354,blind,confide
355,blinding,confidence
356,blindingly,confident
357,blindside,confirm
358,blister,confirmation
359,blistering,congenial
360,blizzardy,congrats
361,bloated,congratulate
362,blockage,congratulations
363,blockhead,congruous
364,bloodshed,conjunction
365,bloodthirsty,connect
366,bloody,connected
367,blotchy,connectedness
368,blow,connection
369,blunder,connoisseur
370,blundering,conquer
371,blunders,conquest
372,blunt,conscious
373,blur,consciousness
374,blurred,consensual
375,blurring,consequential
376,blurry,consider
377,blurs,considerate
378,blurt,consist
379,boastful,consistency
380,boggle,consistent
381,bogus,consistently
382,boil,constant
383,boiling,constantly
384,boisterous,constructive
385,bomb,consul
386,bombard,consultant
387,bombardment,content
388,bombastic,contented
389,bondage,contentment
390,bonkers,contrast
391,boorish,contribute
392,bore,contribution
393,bored,contributor
394,boredom,control
395,bores,convenience
396,boring,convenient
397,bossy,conveniently
398,botch,conversant
399,bother,conversation
400,bothered,converse
401,bothering,convert
402,bothers,converted
403,bothersome,convey
404,bowdlerize,conviction
405,boycott,convince
406,braggart,convincing
407,bragger,convivial
408,brainless,conviviality
409,brainwash,cool
410,brash,cool-headed
411,brashly,cooperate
412,brashness,cooperation
413,brat,cooperative
414,bravado,copacetic
415,brazen,cope
416,brazenly,copious
417,brazenness,cordial
418,breach,cordially
419,break,cornerstone
420,break-up,corporation
421,break-ups,correct
422,breakdown,correctly
423,breaking,coruscant
424,breaks,cosmic
425,breakup,cost-effective
426,breakups,cosy
427,bribery,could
428,brimstone,counsel
429,bristle,counselor
430,brittle,courage
431,broke,courageous
432,broken,courageously
433,broken-hearted,courteous
434,brood,courtesy
435,browbeat,courtly
436,bruise,covenant
437,bruised,coy
438,bruises,coyness
439,bruising,cozy
440,brusque,crack
441,brutal,crackerjack
442,brutalities,craft
